MonthlyIncome,MonthlyExpenses,LoanAmount,HasFixedIncome,IsEmployed,HasCurrentLoan,HasDebtIssues,LoanApproval
50000,20000,120000,Ja,Ja,Nej,Nej,Ja
37000,18000,70000,Nej,Nej,Nej,Nej,Nej
60000,25000,160000,Ja,Ja,Nej,Nej,Ja
54000,27000,130000,Ja,Ja,Nej,Nej,Ja
38000,16000,70000,Nej,Nej,Nej,Nej,Nej
45000,20000,90000,Ja,Ja,Nej,Nej,Ja
52000,24000,110000,Ja,Ja,Nej,Nej,Ja
48000,20000,100000,Ja,Nej,Nej,Ja,Nej
70000,30000,180000,Ja,Ja,Nej,Nej,Ja
40000,17000,80000,Nej,Nej,Nej,Nej,Nej
55000,22000,140000,Ja,Ja,Nej,Nej,Ja
30000,14000,50000,Nej,Nej,Ja,Nej,Nej
46000,21000,95000,Ja,Ja,Nej,Nej,Ja
72000,36000,230000,Ja,Ja,Nej,Nej,Ja
64000,27000,180000,Ja,Ja,Nej,Ja,Nej
38000,15000,75000,Nej,Nej,Nej,Nej,Nej
48000,20000,85000,Ja,Nej,Nej,Nej,Nej
65000,31000,190000,Ja,Ja,Nej,Nej,Ja
57000,25000,145000,Ja,Ja,Nej,Nej,Ja
35000,17000,70000,Nej,Nej,Nej,Nej,Nej
42000,22000,100000,Ja,Nej,Nej,Ja,Nej
56000,26000,135000,Ja,Ja,Nej,Nej,Ja
40000,19000,85000,Nej,Ja,Nej,Nej,Nej
60000,30000,150000,Ja,Ja,Nej,Nej,Ja
52000,25000,120000,Ja,Ja,Nej,Nej,Ja
38000,17000,80000,Nej,Nej,Nej,Nej,Nej
73000,34000,250000,Ja,Ja,Nej,Nej,Ja
41000,20000,85000,Nej,Ja,Nej,Nej,Nej
62000,28000,170000,Ja,Ja,Nej,Nej,Ja
45000,22000,100000,Ja,Ja,Nej,Ja,Nej
30000,15000,60000,Nej,Nej,Nej,Nej,Nej
57000,27000,140000,Ja,Ja,Nej,Nej,Ja
49000,23000,110000,Ja,Nej,Nej,Nej,Nej
43000,20000,85000,Nej,Ja,Nej,Nej,Nej
80000,39000,300000,Ja,Ja,Nej,Nej,Ja
39000,16000,70000,Nej,Ja,Nej,Nej,Nej
51000,22000,95000,Ja,Nej,Nej,Nej,Nej
75000,35000,250000,Ja,Ja,Nej,Nej,Ja
48000,20000,105000,Ja,Nej,Ja,Nej,Nej
60000,25000,160000,Ja,Ja,Nej,Nej,Ja
70000,32000,210000,Ja,Ja,Nej,Nej,Ja
46000,18000,85000,Nej,Ja,Nej,Nej,Nej
54000,24000,120000,Ja,Ja,Nej,Nej,Ja
65000,26000,140000,Ja,Ja,Nej,Nej,Ja
43000,20000,70000,Nej,Ja,Nej,Nej,Nej
52000,23000,110000,Ja,Ja,Nej,Nej,Ja
30000,14000,50000,Nej,Nej,Nej,Nej,Nej
56000,28000,130000,Ja,Ja,Nej,Nej,Ja
40000,20000,85000,Nej,Ja,Nej,Nej,Nej
63000,27000,175000,Ja,Ja,Nej,Nej,Ja
72000,32000,200000,Ja,Ja,Nej,Nej,Ja
